Year,State,HAI,Facility_ID1,Facility_Name1,County,Hospital_Onset_Cases,Patient_Days,Hospital_Onset_Rate,CI_95_Lower_Limit,CI_95_Upper_Limit,PCR,Notes
2015,California,Clostridium difficile Infection (CDI),930000014,Barlow Respiratory Hospital,Los Angeles,47,24272,19.36,14.23,25.75,+,
2015,California,Clostridium difficile Infection (CDI),030000129,Central Valley Specialty Hospital,Stanislaus,22,30863,7.13,4.47,10.79,,
2015,California,Clostridium difficile Infection (CDI),110000946,Kentfield Rehabilitation & Specialty Hospital,Marin,26,18748,13.87,9.06,20.32,+,
2015,California,Clostridium difficile Infection (CDI),930000144,"Kindred Hospital, Baldwin Park",Los Angeles,40,25902,15.44,11.03,21.03,+,
2015,California,Clostridium difficile Infection (CDI),060001360,"Kindred Hospital, Brea",Orange,12,14246,8.42,4.35,14.71,+,
2015,California,Clostridium difficile Infection (CDI),930000089,"Kindred Hospital, La Mirada",Los Angeles,45,20893,21.54,15.71,28.82,+,
2015,California,Clostridium difficile Infection (CDI),930000088,"Kindred Hospital, Los Angeles",Los Angeles,51,27774,18.36,13.67,24.14,+,
2015,California,Clostridium difficile Infection (CDI),240000040,"Kindred Hospital, Ontario",San Bernardino,23,25664,8.96,5.68,13.45,+,
2015,California,Clostridium difficile Infection (CDI),240001515,"Kindred Hospital, Rancho",San Bernardino,28,18546,15.1,10.03,21.82,+,
2015,California,Clostridium difficile Infection (CDI),250000004,"Kindred Hospital, Riverside",Riverside,17,11455,14.84,8.65,23.76,+,
2015,California,Clostridium difficile Infection (CDI),090000048,"Kindred Hospital, San Diego",San Diego,31,17056,18.18,12.35,25.8,+,
2015,California,Clostridium difficile Infection (CDI),140000148,"Kindred Hospital, San Francisco Bay Area",Alameda,15,20013,7.5,4.19,12.36,+,
2015,California,Clostridium difficile Infection (CDI),930000042,"Kindred Hospital, San Gabriel Valley",Los Angeles,39,20878,18.68,13.28,25.54,+,
2015,California,Clostridium difficile Infection (CDI),930001607,"Kindred Hospital, Santa Ana",Orange,34,17900,18.99,13.15,26.54,+,
2015,California,Clostridium difficile Infection (CDI),930000039,"Kindred Hospital, South Bay, Gardena",Los Angeles,23,17119,13.44,8.52,20.16,+,
2015,California,Clostridium difficile Infection (CDI),930000039.1,"Kindred Hospital, South Bay, Hawaiian Gardens",Los Angeles,5,5376,9.3,3.02,21.7,,
2015,California,Clostridium difficile Infection (CDI),060000017,"Kindred Hospital, Westminster",Orange,86,36986,23.25,18.6,28.72,+,
2015,California,Clostridium difficile Infection (CDI),930000107,Monrovia Memorial Hospital,Los Angeles,4,12639,3.16,0.86,8.1,,
2015,California,Clostridium difficile Infection (CDI),930000003,Promise Hospital of East Los Angeles - East L.A Campus,Los Angeles,2,9791,2.04,0.25,7.38,,
2015,California,Clostridium difficile Infection (CDI),930000033,Promise Hospital of East Los Angeles - Suburban Campus,Los Angeles,25,47073,5.31,3.44,7.84,,
2015,California,Clostridium difficile Infection (CDI),090000155,Promise Hospital of San Diego,San Diego,10,12195,8.2,3.93,15.08,,
2015,California,Clostridium difficile Infection (CDI),230000422,Vibra Hospital of Northern California,Shasta,24,17027,14.1,9.03,20.97,+,
2015,California,Clostridium difficile Infection (CDI),030000907,Vibra Hospital of Sacramento,Sacramento,22,15197,14.48,9.07,21.92,+,
2015,California,Clostridium difficile Infection (CDI),090000977,Vibra Hospital of San Diego,San Diego,25,24967,10.01,6.48,14.78,+,
