Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On_Track_Toward_2020_Goal (0.88, 2017)",Months,SIR_2015,Notes
2017,California,Clostridium difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,7783,9121.16,13583917,0.85,0.83,0.87,Better,Yes, ,1.15,
2017,California,Clostridium difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,627,539.15,468940,1.16,1.07,1.26,Worse,No, ,1.04,
2017,California,Clostridium difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,31,28.61,87351,1.08,0.74,1.54,Same,No, ,1.39,
2017,California,Clostridium difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,194,230.93,508436,0.84,0.73,0.97,Better,Yes, ,0.89,
2017,California,Clostridium difficile Infection (CDI),140000011,Alameda Hospital,Alameda,Acute Care Hospital,Community (<125 Beds),3,4.59,12249,0.65,0.17,1.78,Same,Yes,12,1.81,
2017,California,Clostridium difficile Infection (CDI),140000425,Alta Bates Summit Medical Center,Alameda,Acute Care Hospital,Community (>250 Beds),34,40.98,54488,0.83,0.58,1.15,Same,Yes,12,1.09,"* Hospitals reported combined data, see Data Dictionary"
2017,California,Clostridium difficile Infection (CDI),140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",Alameda,Acute Care Hospital,Community (>250 Beds),28,36.79,50006,0.76,0.52,1.09,Same,Yes,12,1.26,
2017,California,Clostridium difficile Infection (CDI),140000425,"Alta Bates Summit Medical Center, Rehabilitation Unit",Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,7,9.29,17996,0.75,0.33,1.49,Same,Yes,12,0.63,"* Hospitals reported combined data, see Data Dictionary"
2017,California,Clostridium difficile Infection (CDI),140000014,Children's Hospital & Research Center Oakland,Alameda,Acute Care Hospital,Pediatric,18,15.88,36553,1.13,0.69,1.76,Same,No,12,1.42,
2017,California,Clostridium difficile Infection (CDI),140000183,Eden Medical Center,Alameda,Acute Care Hospital,Community (125-250 Beds),12,25.04,37263,0.48,0.26,0.82,Better,Yes,12,1.63,
2017,California,Clostridium difficile Infection (CDI),140000184,Fairmont Hospital,Alameda,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,2.72,6549,0,0,1.1,Same,Yes,12,,
2017,California,Clostridium difficile Infection (CDI),140000034,Highland Hospital,Alameda,Acute Care Hospital,Major Teaching,28,30.62,50903,0.92,0.62,1.3,Same,No,12,1,
2017,California,Clostridium difficile Infection (CDI),140001086,"Kaiser Foundation Hospital, Fremont",Alameda,Acute Care Hospital,Community (<125 Beds),10,10.09,18020,0.99,0.5,1.77,Same,No,12,0.78,
2017,California,Clostridium difficile Infection (CDI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,Acute Care Hospital,Major Teaching,35,46.33,75113,0.76,0.53,1.04,Same,Yes,12,1.24,
2017,California,Clostridium difficile Infection (CDI),630015029,"Kaiser Foundation Hospital, San Leandro",Alameda,Acute Care Hospital,Community (125-250 Beds),5,23.83,41973,0.21,0.08,0.47,Better,Yes,12,0.9,
2017,California,Clostridium difficile Infection (CDI),140000148,"Kindred Hospital, San Francisco Bay Area",Alameda,Long-term Acute Care Hospital,LTAC,32,30.98,23921,1.03,0.72,1.44,Same,No,12,0.69,
2017,California,Clostridium difficile Infection (CDI),630013913,San Leandro Hospital,Alameda,Acute Care Hospital,Community (<125 Beds),13,7.24,12590,1.8,1,2.99,Same,No,12,1.63,
2017,California,Clostridium difficile Infection (CDI),140000041,St Rose Hospital,Alameda,Acute Care Hospital,Community (125-250 Beds),23,29.06,22601,0.79,0.51,1.17,Same,Yes,12,1.46,
